SocialCue,ImageOrder,Participant_Gender,imageName,describeImage,judgement,character,appearance,WC,Sixltr,ppron,i,we,you,shehe,they,verb,adj,affect,posemo,negemo,social,family,friend,female,male,bio,body,health,sexual,ingest,work,leisure,home,money,relig,death,StrongNeg,StrongPos,WeakNeg,WeakPos,StrongSub,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0,0,0,Barman - BM,A MALE BARTENDER STANDING BEHIND THE BAR HOLDING FRUIT.,0,0,0,9,33.33,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,22.22,0,0,0,22.22,0,11.11,0,0,0,0,0,0,11.11,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0
0,0,0,Barman - BM,African American male barista,0,0,1,4,75,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,Barman - BM,I am a male chef and bartender who enjoys his job.,0,1,0,11,9.09,18.18,9.09,0,0,9.09,0,9.09,0,9.09,9.09,0,27.27,0,0,0,18.18,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0
0,0,0,Barman - BM,"A 20 something black male is at a bar.  In his hands he is holding tropical fruit. In front of him, various liquors and fruits and cocktails are displayed.  Behind him is a cabinet on which various ty",0,0,1,38,23.68,10.53,0,0,0,10.53,0,10.53,5.26,2.63,2.63,0,13.16,0,0,0,13.16,15.79,2.63,0,0,13.16,0,7.89,0,0,0,0,0,0,5.26,0,0,10.53,7.89,2.63,0,0,0,0,0,0,0,0,0
0,0,0,Barman - BM,"There is an African American behind the counter of a bar, he is holding some fruit (mangos?), there are drinks made on the bar and glasses behind him. ",0,0,1,28,17.86,7.14,0,0,0,7.14,0,14.29,0,0,0,0,7.14,0,0,0,7.14,14.29,0,0,0,14.29,0,10.71,0,0,0,0,0,0,7.14,0,0,21.43,3.57,7.14,0,0,3.57,0,0,0,0,7.14,0
0,0,0,Barman - BM,A bartender is posing with a handful of fruit behind a set of cocktails.,0,0,0,14,21.43,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,14.29,0,0,0,14.29,0,7.14,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0
0,0,0,Barman - BM,This shows a bartender of some kind posing with many different cocktails and fruit,0,0,0,14,21.43,0,0,0,0,0,0,0,7.14,7.14,7.14,0,0,0,0,0,0,14.29,0,0,0,14.29,0,7.14,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,Barman - BM,"A young man with a mohawk stands behind several drinks already made, a bowl of fruit and several bottles of spirits. He is smiling and holding two fruits in his hand.",1,1,1,31,22.58,6.45,0,0,0,6.45,0,6.45,3.23,3.23,3.23,0,9.68,0,0,0,9.68,12.9,3.23,0,0,9.68,0,3.23,0,0,3.23,0,0,3.23,0,0,3.23,9.68,6.45,3.23,0,0,0,0,0,0,0,0,0
0,0,0,Barman - BM,"Black bartender, friendly appearance.  Holding fruit.  Has a faux hawk.",1,1,1,10,40,0,0,0,0,0,0,10,0,10,0,0,10,0,10,0,0,10,0,0,0,10,0,0,0,0,0,0,0,10,10,0,10,40,30,10,0,0,0,0,0,0,0,0,0
0,0,0,Barman - BM,A bar tender is holding some fruits in his hand as he smiles for a photo. He is African American and has a Mohawk.,0,1,1,24,12.5,12.5,0,0,0,12.5,0,12.5,8.33,8.33,8.33,0,12.5,0,0,0,12.5,16.67,4.17,4.17,0,8.33,0,4.17,0,0,0,0,0,0,4.17,4.17,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0
0,0,0,Barman - BM,There is a male bartender holder what looks like 2 mangos in his left hand.  He is smiling and centered in the picture. He is standing behind a bar that has many different martini style glasses in f,0,1,1,38,21.05,7.89,0,0,0,7.89,0,15.79,2.63,2.63,2.63,0,10.53,0,0,0,10.53,7.89,2.63,0,0,5.26,0,5.26,0,0,0,0,0,5.26,2.63,0,5.26,5.26,5.26,0,0,0,0,0,0,0,0,0,0
0,0,0,Barman - BW,A FEMALE BARTENDER MAKING A DRINK. ,0,0,0,6,16.67,0,0,0,0,0,0,16.67,16.67,0,0,0,16.67,0,0,16.67,0,16.67,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0
0,0,0,Barman - BW,African American female barista,0,0,1,4,75,0,0,0,0,0,0,0,25,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,Barman - BW,I am a female bartender pouring drink at my job.,0,0,0,10,20,20,20,0,0,0,0,10,10,0,0,0,10,0,0,10,0,10,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
0,0,0,Barman - BW,A black woman with short hair and large gold earrings is pouring a cocktail.  In front of her are bottles of liquor.  Behind her is a brightly lit bar.,0,0,1,29,17.24,6.9,0,0,0,6.9,0,10.34,6.9,0,0,0,10.34,0,0,10.34,0,10.34,0,0,0,10.34,0,10.34,0,0,0,0,0,0,6.9,6.9,0,10.34,10.34,0,0,0,0,0,0,0,0,0,0
